Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
256;257;14.1215;4264.3029127121
257;258;17.31387;4278.42441654205
258;259;19.35479;4295.73828411102
259;260;14.33823;4315.09307765961
260;261;18.03847;4329.43131065369
261;262;16.7822;4347.46978187561
262;263;16.42096;4364.25197792053
263;264;16.80823;4380.67293357849
264;265;14.73197;4397.48115921021
265;266;18.95632;4412.21313285828
266;267;16.04577;4431.16945648193
267;268;16.52818;4447.21522712708
268;269;17.07147;4463.74340438843
269;270;15.30687;4480.8148765564
270;271;18.17523;4496.12174415588
271;272;13.9303;4514.29697608948
272;273;19.26518;4528.22727966309
273;274;16.82208;4547.49245643616
274;275;14.74061;4564.31453895569
275;276;18.3674;4579.05515003204
276;277;16.23904;4597.42255306244
277;278;16.18696;4613.66159725189
278;279;17.46263;4629.84856128693
279;280;17.14384;4647.31118869781
280;281;14.2041;4664.45502758026
281;282;17.27112;4678.65912723541
282;283;18.24673;4695.93024539948
283;284;16.51645;4714.17697048187
284;285;16.62081;4730.69341564178
285;286;16.81153;4747.31422901154
286;287;17.53601;4764.12576007843
287;288;17.25358;4781.66176891327
288;289;13.81286;4798.91535282135
289;290;16.29058;4812.72821617126
290;291;18.17619;4829.01879692078
291;292;16.60327;4847.19498825073
292;293;17.36516;4863.79825782776
293;294;16.75524;4881.16341400146
294;295;14.25725;4897.91864967346
295;296;17.19939;4912.17590045929
296;297;18.55118;4929.37529277802
297;298;15.15847;4947.92647266388
298;299;18.48482;4963.08494091034
299;300;14.71261;4981.56976413727
300;301;18.67291;4996.28237247467
301;302;13.68923;5014.95528125763
302;303;18.5953;5028.64451122284
303;304;17.32746;5047.23981380463
304;305;16.49096;5064.56727695465
305;306;16.87066;5081.05823421478
306;307;16.94373;5097.92889881134
307;308;16.91638;5114.87263011932
308;309;16.1297;5131.78901004791
309;310;16.92622;5147.9187078476
310;311;16.59835;5164.84492588043
311;312;16.13232;5181.44327640533
312;313;17.15496;5197.57559871674
313;314;16.34024;5214.73055934906
314;315;16.60758;5231.07080364227
315;316;16.69251;5247.67838191986
316;317;16.82114;5264.37089061737
317;318;15.75007;5281.19203090668
318;319;17.14596;5296.9421043396
319;320;17.26143;5314.08806610107
320;321;16.17915;5331.34949684143
321;322;15.35698;5347.52864646912
322;323;16.77898;5362.88562870026
323;324;18.22721;5379.66460895538
324;325;14.34853;5397.89181804657
325;326;19.10632;5412.24034976959
326;327;15.69724;5431.34666538239
327;328;18.35421;5447.0439081192
328;329;15.97176;5465.39811611176
329;330;17.04304;5481.3698759079
330;331;16.72864;5498.41291332245
331;332;16.31076;5515.14155101776
332;333;16.98266;5531.45230960846
333;334;16.66294;5548.43496608734
334;335;16.30711;5565.09790897369
335;336;17.65415;5581.40502071381
336;337;16.08858;5599.05917072296
337;338;14.29105;5615.14775180817
338;339;16.81122;5629.43880558014
339;340;18.83394;5646.25002765656
340;341;16.72013;5665.08397197723
341;342;16.44232;5681.8041009903
342;343;16.62021;5698.24641704559
343;344;17.17343;5714.86662960052
344;345;14.73042;5732.04006290436
345;346;18.54416;5746.77048492432
346;347;16.80424;5765.31464004517
347;348;16.26068;5782.11887741089
348;349;17.25941;5798.37956237793
349;350;16.80854;5815.63896751404
350;351;15.2363;5832.44750404358
351;352;17.40206;5847.68380832672
352;353;17.03182;5865.08587169647
353;354;16.32573;5882.11768817902
354;355;16.35966;5898.44341564178
355;356;17.3804;5914.80307674408
356;357;16.34235;5932.18348026276
357;358;15.16164;5948.52582836151
358;359;17.89841;5963.68747234344
359;360;16.95863;5981.58588314056
360;361;17.1296;5998.54451084137
361;362;15.92455;6015.67411136627
362;363;17.16105;6031.5986623764
363;364;16.75047;6048.75971508026
364;365;15.22448;6065.51018238068
365;366;18.36481;6080.73466491699
366;367;15.93056;6099.0994720459
367;368;17.26588;6115.03003501892
368;369;16.19219;6132.29591369629
369;370;16.61383;6148.48810005188
370;371;16.33033;6165.10193061829
371;372;16.40646;6181.43225669861
372;373;17.77628;6197.83871650696
373;374;17.1943;6215.61499595642
374;375;14.37572;6232.80929946899
375;376;18.21992;6247.18502235413
376;377;16.44494;6265.40494537354
377;378;16.83041;6281.84988594055
378;379;16.56657;6298.68029403687
379;380;17.19582;6315.24686431885
380;381;15.24108;6332.44268035889
381;382;18.08067;6347.6837644577
382;383;16.74088;6365.76443576813
383;384;16.96763;6382.50531482697
384;385;15.83917;6399.47294330597
385;386;17.01788;6415.31211280823
386;387;16.45594;6432.32999229431
387;388;17.07777;6448.78593444824
388;389;16.3227;6465.86370849609
389;390;16.92802;6482.18640899658
390;391;16.8764;6499.11442947388
391;392;16.61124;6515.99083328247
392;393;15.4307;6532.60207748413
393;394;15.52102;6548.03277873993
394;395;18.82159;6563.55379962921
395;396;16.73222;6582.37538814545
396;397;16.9802;6599.10761165619
397;398;16.12819;6616.08781147003
398;399;16.94586;6632.21599674225
399;400;15.47468;6649.161860466
400;401;15.63802;6664.63654327393
401;402;18.192;6680.27456378937
402;403;17.41571;6698.46656703949
403;404;15.33552;6715.88227748871
404;405;17.98459;6731.21779823303
405;406;16.95672;6749.20239067078
406;407;16.24393;6766.15910720825
407;408;16.77824;6782.40303993225
408;409;17.3628;6799.18128013611
409;410;15.04271;6816.54408073425
410;411;18.83532;6831.58679103851
411;412;13.22348;6850.42211437225
412;413;16.74492;6863.64559650421
413;414;18.91207;6880.3905134201
414;415;16.89482;6899.30258274078
415;416;16.83288;6916.19740200043
416;417;14.75661;6933.03028392792
417;418;16.31055;6947.78689479828
418;419;16.93392;6964.09744358063
419;420;18.63988;6981.03136539459
420;421;17.24596;6999.67124080658
421;422;13.72762;7016.91720104218
422;423;19.00389;7030.64482307434
423;424;16.36438;7049.6487159729
424;425;17.09248;7066.01309585571
425;426;16.18987;7083.10557556152
426;427;17.41901;7099.29544830322
427;428;15.95403;7116.71445655823
428;429;16.75294;7132.66848373413
429;430;16.68711;7149.42142486572
430;431;14.50562;7166.1085319519
431;432;18.86032;7180.6141500473
432;433;14.40789;7199.47447109222
433;434;19.39409;7213.88236522675
434;435;16.2608;7233.27645397186
435;436;17.41509;7249.53725719452
436;437;15.97789;7266.95234584808
437;438;15.6604;7282.93023777008
438;439;15.80014;7298.5906419754
439;440;17.87537;7314.39077854156
440;441;15.73473;7332.26614665985
441;442;16.78894;7348.00088024139
442;443;18.79632;7364.78982067108
443;444;16.61836;7383.58614063263
444;445;15.42961;7400.20449924469
445;446;16.89184;7415.6341085434
446;447;16.85782;7432.52595233917
447;448;17.05714;7449.38377285004
448;449;16.83905;7466.44090938568
449;450;15.96828;7483.27996349335
450;451;17.74527;7499.24824714661
451;452;16.02353;7516.99351882935
452;453;16.99138;7533.01704597473
453;454;16.22948;7550.00842666626
454;455;16.79337;7566.23790168762
455;456;16.61725;7583.03126907349
456;457;15.85308;7599.64851570129
457;458;16.83484;7615.50159263611
458;459;17.07373;7632.3364276886
459;460;17.57758;7649.41015434265
460;461;15.89409;7666.98773002625
461;462;17.33669;7682.88182258606
462;463;15.12118;7700.21851539612
463;464;18.21446;7715.33969306946
464;465;16.08962;7733.55414962769
465;466;18.1628;7749.64377212524
466;467;15.42616;7767.8065700531
467;468;14.84054;7783.23273277283
468;469;17.09448;7798.0732717514
469;470;18.23832;7815.16774845123
470;471;16.89814;7833.40606784821
471;472;17.09291;7850.30421161652
472;473;14.62207;7867.39712429047
473;474;17.88335;7882.01919269562
474;475;17.19526;7899.90254497528
475;476;15.82535;7917.09780025482
476;477;15.70097;7932.92315483093
477;478;18.29062;7948.62412452698
478;479;14.90681;7966.91474533081
479;480;17.25886;7981.82155895233
480;481;16.73824;7999.08042240143
481;482;15.14044;8015.81866550446
482;483;16.83708;8030.95910930634
483;484;17.26124;8047.79618930817
484;485;16.39168;8065.05742931366
485;486;17.55466;8081.4491109848
486;487;18.52778;8099.00377368927
487;488;13.50123;8117.53155040741
488;489;18.46189;8131.03277683258
489;490;16.0659;8149.4946680069
490;491;18.82898;8165.56056690216
491;492;13.34953;8184.38955020905
492;493;17.74534;8197.73908042908
493;494;17.70192;8215.48442077637
494;495;15.32571;8233.18634033203
495;496;16.29758;8248.51205348969
496;497;17.22849;8264.80963802338
497;498;15.77824;8282.03812503815
498;499;17.7481;8297.81636047363
499;500;16.34866;8315.5644569397
500;501;18.7415;8331.91311645508
501;502;17.2366;8350.65461730957
502;503;16.39463;8367.89122200012
503;504;16.34859;8384.28584861755
504;505;15.85998;8400.63443946838
505;506;17.6227;8416.4944190979
506;507;17.27105;8434.11711883545
507;508;15.08282;8451.38816642761
508;509;15.9212;8466.47099113464
509;510;16.78758;8482.3921957016
510;511;17.48754;8499.17977237701
511;512;15.64264;8516.6673078537
512;513;17.65784;8532.30994796753
513;514;16.04987;8549.96778297424
514;515;16.87454;8566.01765060425
515;516;17.30874;8582.89219093323
516;517;15.04174;8600.20093154907
517;518;16.5769;8615.24266910553
518;519;16.68895;8631.81956958771
519;520;16.39367;8648.50852108002
520;521;16.62414;8664.90219593048
521;522;17.00777;8681.52633571625
522;523;16.61516;8698.53410816193
523;524;16.27999;8715.14927196503
524;525;17.50268;8731.42926311493
525;526;17.56346;8748.93194675446
526;527;15.33678;8766.49540615082
527;528;16.9838;8781.83219051361
528;529;17.24631;8798.81598567963
529;530;17.08544;8816.06229686737
530;531;16.94078;8833.14773654938
